IP,URL,Status,User_Agent,label
10.0.0.3,/products,302,Chrome,0
10.0.0.2,/home,200,Mozilla,0
10.0.0.2,/products,200,Chrome,0
10.0.0.3,/home,301,Safari,0
10.0.0.2,/products,200,Chrome,0
10.0.0.2,/about,302,Safari,0
10.0.0.1,/products,200,Mozilla,0
10.0.0.3,/products,301,Chrome,0
10.0.0.1,/about,301,Chrome,0
10.0.0.3,/products,301,Chrome,0
10.0.0.3,/home,301,Chrome,0
10.0.0.2,/about,302,Safari,0
10.0.0.3,/home,302,Safari,0
10.0.0.3,/about,200,Safari,0
10.0.0.3,/products,302,Mozilla,0
10.0.0.1,/home,200,Mozilla,0
10.0.0.1,/products,200,Chrome,0
10.0.0.3,/home,302,Chrome,0
10.0.0.2,/home,301,Chrome,0
10.0.0.2,/home,301,Safari,0
10.0.0.3,/products,200,Safari,0
10.0.0.2,/products,301,Safari,0
10.0.0.1,/about,301,Mozilla,0
10.0.0.1,/about,302,Safari,0
10.0.0.2,/about,200,Chrome,0
10.0.0.1,/products,301,Chrome,0
10.0.0.1,/products,302,Chrome,0
10.0.0.3,/products,301,Safari,0
10.0.0.3,/home,301,Chrome,0
10.0.0.3,/home,302,Mozilla,0
10.0.0.3,/about,200,Safari,0
10.0.0.3,/home,200,Safari,0
10.0.0.3,/home,301,Chrome,0
10.0.0.3,/about,200,Chrome,0
10.0.0.3,/home,302,Mozilla,0
10.0.0.2,/products,301,Mozilla,0
10.0.0.2,/home,301,Mozilla,0
10.0.0.2,/about,302,Chrome,0
10.0.0.2,/products,301,Chrome,0
10.0.0.1,/home,302,Chrome,0
10.0.0.3,/products,301,Chrome,0
10.0.0.2,/about,302,Safari,0
10.0.0.3,/home,301,Mozilla,0
10.0.0.3,/home,200,Safari,0
10.0.0.2,/about,302,Mozilla,0
10.0.0.3,/products,301,Mozilla,0
10.0.0.1,/about,200,Mozilla,0
10.0.0.3,/products,302,Chrome,0
10.0.0.2,/home,200,Safari,0
10.0.0.3,/home,301,Mozilla,0
10.0.0.3,/home,301,Mozilla,0
10.0.0.1,/products,200,Safari,0
10.0.0.2,/products,302,Chrome,0
10.0.0.3,/products,301,Chrome,0
10.0.0.3,/about,302,Chrome,0
10.0.0.2,/about,200,Safari,0
10.0.0.3,/products,301,Mozilla,0
10.0.0.2,/about,301,Chrome,0
10.0.0.3,/products,302,Safari,0
10.0.0.3,/home,302,Safari,0
10.0.0.3,/home,302,Mozilla,0
10.0.0.3,/about,301,Mozilla,0
10.0.0.3,/home,200,Safari,0
10.0.0.3,/home,200,Mozilla,0
10.0.0.3,/about,301,Safari,0
10.0.0.1,/about,302,Safari,0
10.0.0.1,/about,200,Safari,0
10.0.0.1,/products,301,Chrome,0
10.0.0.2,/about,302,Safari,0
10.0.0.1,/home,301,Safari,0
10.0.0.3,/products,200,Safari,0
10.0.0.1,/products,200,Mozilla,0
10.0.0.1,/products,302,Safari,0
10.0.0.1,/products,302,Chrome,0
10.0.0.1,/products,200,Mozilla,0
10.0.0.3,/products,302,Mozilla,0
10.0.0.1,/about,301,Safari,0
10.0.0.1,/about,302,Safari,0
10.0.0.3,/products,302,Safari,0
10.0.0.1,/home,200,Safari,0
10.0.0.2,/about,301,Mozilla,0
10.0.0.2,/home,200,Mozilla,0
10.0.0.3,/about,200,Chrome,0
10.0.0.1,/home,200,Chrome,0
10.0.0.1,/home,200,Chrome,0
10.0.0.2,/home,301,Safari,0
10.0.0.2,/about,301,Chrome,0
10.0.0.2,/about,301,Mozilla,0
10.0.0.1,/products,301,Chrome,0
10.0.0.2,/products,200,Mozilla,0
10.0.0.1,/home,302,Mozilla,0
10.0.0.1,/about,302,Chrome,0
10.0.0.1,/about,301,Mozilla,0
10.0.0.3,/about,200,Chrome,0
10.0.0.3,/products,200,Mozilla,0
10.0.0.1,/about,301,Chrome,0
10.0.0.2,/home,302,Safari,0
10.0.0.3,/products,302,Safari,0
10.0.0.1,/products,302,Safari,0
10.0.0.3,/products,302,Safari,0
172.16.0.5,/etc/passwd,500,sqlmap,1
192.168.1.100,/etc/passwd,500,bot,1
192.168.1.100,/cgi-bin/formmail.cgi,500,curl,1
192.168.1.100,/etc/passwd,500,bot,1
172.16.0.5,/etc/passwd,404,sqlmap,1
172.16.0.5,/etc/passwd,404,sqlmap,1
192.168.1.100,/etc/passwd,404,sqlmap,1
192.168.1.100,/cgi-bin/formmail.cgi,500,sqlmap,1
192.168.1.100,/etc/passwd,500,curl,1
192.168.1.100,/etc/passwd,404,curl,1
